Draw,Date,Result,Super Ball
baloto,2022-02-19,03-22-27-31-32,10
revancha,2022-02-19,07-17-33-35-41,09
baloto,2022-02-16,14-18-24-37-43,15
revancha,2022-02-16,05-08-09-21-42,08
baloto,2022-02-12,01-07-22-28-38,06
revancha,2022-02-12,01-12-13-33-36,03
baloto,2022-02-09,01-06-24-33-43,08
revancha,2022-02-09,02-03-08-15-33,06
baloto,2022-02-05,05-09-27-38-42,01
revancha,2022-02-05,02-11-12-24-43,12
baloto,2022-02-02,03-09-22-23-36,02
revancha,2022-02-02,03-14-15-19-31,07
baloto,2022-01-29,08-18-19-22-32,01
revancha,2022-01-29,18-24-29-40-41,05
baloto,2022-01-26,12-15-28-35-38,01
revancha,2022-01-26,22-24-31-33-34,13
baloto,2022-01-22,01-05-13-27-30,07
revancha,2022-01-22,12-14-35-38-40,01
baloto,2022-01-19,14-17-24-25-41,01
revancha,2022-01-19,22-24-34-38-43,06
baloto,2022-01-15,04-13-20-27-42,01
revancha,2022-01-15,01-05-09-21-24,10
baloto,2022-01-12,01-02-11-34-41,10
revancha,2022-01-12,02-12-17-30-32,01
baloto,2022-01-08,08-11-30-31-38,07
revancha,2022-01-08,09-16-18-21-27,05
baloto,2022-01-05,10-33-36-40-43,16
revancha,2022-01-05,20-21-38-40-43,05
baloto,2022-01-01,17-19-20-21-26,13
revancha,2022-01-01,02-08-21-38-43,07
baloto,2021-12-29,08-24-34-38-42,11
revancha,2021-12-29,16-17-24-26-28,04
baloto,2021-12-25,02-05-16-24-39,15
revancha,2021-12-25,14-15-26-28-40,14
baloto,2021-12-22,05-11-29-30-43,14
revancha,2021-12-22,05-20-35-38-43,02
baloto,2021-12-18,02-18-22-24-28,04
revancha,2021-12-18,03-16-22-26-40,12
baloto,2021-12-15,01-15-20-31-35,15
revancha,2021-12-15,07-25-34-42-43,02
baloto,2021-12-11,02-08-20-35-38,03
revancha,2021-12-11,09-16-19-29-39,01
baloto,2021-12-08,01-04-06-12-22,10
revancha,2021-12-08,09-25-33-35-40,07
baloto,2021-12-04,09-11-22-26-42,15
revancha,2021-12-04,25-27-31-42-43,14
baloto,2021-12-01,13-15-16-24-43,13
revancha,2021-12-01,09-11-15-20-35,02
baloto,2021-11-27,09-13-24-29-38,09
revancha,2021-11-27,06-20-24-30-40,16
baloto,2021-11-24,17-25-29-34-36,12
revancha,2021-11-24,04-07-19-33-39,08
baloto,2021-11-20,12-15-22-26-28,07
revancha,2021-11-20,01-04-12-13-33,13
baloto,2021-11-17,06-07-09-18-35,06
revancha,2021-11-17,01-11-22-32-33,12
baloto,2021-11-13,01-06-16-22-31,16
revancha,2021-11-13,11-12-28-29-32,13
baloto,2021-11-10,18-35-37-39-42,13
revancha,2021-11-10,05-07-23-34-43,11
baloto,2021-11-06,04-05-29-37-42,13
revancha,2021-11-06,03-19-26-32-43,11
baloto,2021-11-03,07-13-17-21-36,01
revancha,2021-11-03,04-12-35-39-43,14
baloto,2021-10-30,17-19-21-24-40,11
revancha,2021-10-30,12-19-31-42-43,02
baloto,2021-10-27,12-14-18-28-40,08
revancha,2021-10-27,06-09-16-17-26,06
baloto,2021-10-23,02-05-07-20-34,14
revancha,2021-10-23,01-02-18-19-23,07
